Training results for model: model_resnet18_2D_CNN_earlyframe_5frame20segments

Epoch	Train Loss	Train Acc	Val Loss	Val Acc
1	2.1791	0.30	2.2441	0.04
2	2.1602	0.31	2.1740	0.18
3	2.1301	0.33	2.5506	0.05
4	2.1463	0.30	2.5082	0.03
5	2.1204	0.34	2.2424	0.21
6	2.1000	0.34	2.1632	0.19
7	2.0773	0.35	2.0591	0.43
8	2.0659	0.35	2.3254	0.17
9	2.0532	0.36	2.1080	0.28
10	2.0404	0.35	2.2038	0.22
11	2.0302	0.36	2.0865	0.40
12	2.0263	0.37	2.0742	0.31
13	2.0199	0.37	2.0570	0.32
14	2.0112	0.37	2.1453	0.24
15	2.0097	0.38	2.1408	0.30
